"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_publish_request_get[None-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_get[owner_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test exporting entity data in JSON format is reflected for entity created using template version 2.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.
            user_type (str): Type of user for the test.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","0","test_export_json[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:54 UTC 2026","broken","Wed Jun 17 16:49:54 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_moderation_component_presence[normal_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:50:10 UTC 2026","broken","Wed Jun 17 16:50:10 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_request_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can view published phenotypes.
        ","0","test_non_authenticated_user_view_published_phenos","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:50 UTC 2026","broken","Wed Jun 17 16:49:50 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_anonymous_publication_presence","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:57 UTC 2026","broken","Wed Jun 17 16:49:57 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_publish_btn_presence[moderator_user-REQUESTED]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:57 UTC 2026","skipped","Wed Jun 17 16:49:57 UTC 2026","TestDetailComponents","test_detail_components","",""
"
        Test if an entity with template version 1 is updated with fields from
        template version 2 on edit.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_entity (GenericEntity): An instance of the GenericEntity model.
            user_type (str): Type of user for the test.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            template_v2 (Template): An instance of the Template model with version 2.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","0","test_edit_phenotype[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:52 UTC 2026","skipped","Wed Jun 17 16:49:52 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_moderation_component_presence[None]","clinicalcode.tests.functional_tests","Wed Jun 17 16:50:05 UTC 2026","broken","Wed Jun 17 16:50:05 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_moderation_redirect[normal_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:50:09 UTC 2026","broken","Wed Jun 17 16:50:09 UTC 2026","TestModerationComponents","test_moderation_components","",""
